customer_id,product_id,transaction_type,category,amount,purchase_date,payment_mode
7029631,5211646,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
9992987,12782061,Flight Booking,New York to Delhi,10045,1/1/2023,Amex Platinum
11990881,7770775,Flight Booking,New York to Delhi,10049,1/1/2023,Amex Platinum
14358084,6792726,Fabric Procurement,Sustainable Fabric Import,1299,5/24/2023,Corporate credit card
899018,8138014,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
4570941,5542821,Fabric Procurement,Sustainable Fabric Import,1299,3/31/2023,Amex Platinum
7830625,9391119,Fabric Procurement,Sustainable Fabric Import,1299,1/1/2023,Corporate credit card
7145465,3928810,Flight Booking,New York to Delhi,10074,1/16/2023,Amex Platinum
15555633,941745,Fabric Procurement,Sustainable Fabric Import,1299,3/22/2023,Corporate credit card
6986696,350807,Utility Bill,Electricity,1299,1/1/2023,Amex Platinum
2399634,10429889,Luxury Shopping,Gucci,50696,1/1/2023,Corporate credit card
2083601,7072598,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
8245780,10424869,Utility Bill,Electricity,1299,6/15/2023,Amex Platinum
4386887,4176878,Flight Booking,New York to Delhi,10084,3/9/2023,Corporate credit card
14521042,917836,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
3952157,5052332,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
3413741,4156767,Utility Bill,Electricity,1299,4/4/2023,Corporate credit card
10872582,16391082,Hotel Stay,Villa in Tuscany,30069,1/1/2023,Amex Platinum
9435076,10953269,Utility Bill,Electricity,1299,1/2/2023,Corporate credit card
3568205,10229676,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
8345325,9351662,Utility Bill,Electricity,1299,1/1/2023,Amex Platinum
1474571,2643437,Flight Booking,New York to Delhi,10091,1/1/2023,Amex Platinum
10396308,8098456,Hotel Stay,Villa in Tuscany,30075,1/1/2023,Corporate credit card
3976485,15198760,Utility Bill,Electricity,1299,1/1/2023,Amex Platinum
1949541,1037761,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
14326084,16211063,Utility Bill,Electricity,1299,6/15/2023,Amex Platinum
2592347,1828864,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
9203766,12167100,Hotel Stay,Villa in Tuscany,30092,6/15/2023,Corporate credit card
5036782,7783066,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
10730128,163900,Technology Investment,IPhone,50696,1/1/2023,Corporate credit card
16337951,9691821,Utility Bill,Electricity,1299,1/1/2023,Amex Platinum
4182350,14712906,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
16415134,11169118,Flight Booking,New York to Delhi,10091,6/15/2023,Amex Platinum
8761840,14120187,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
15508967,324170,Utility Bill,Electricity,1299,4/12/2023,Corporate credit card
9766232,16503589,Utility Bill,Electricity,1299,6/15/2023,Corporate credit card
14517697,13876876,Utility Bill,Electricity,1299,5/11/2023,Amex Platinum
13291423,14681732,Hotel Stay,Villa in Tuscany,30097,1/1/2023,Corporate credit card
9100089,11498454,Hotel Stay,Villa in Tuscany,30111,2/18/2023,Amex Platinum
15065843,1942279,Utility Bill,Electricity,1299,3/10/2023,Corporate credit card
15356948,15576568,Flight Booking,New York to Delhi,10100,6/15/2023,Corporate credit card
320739,15284640,Utility Bill,Electricity,1299,1/1/2023,Amex Platinum
10183919,11786494,Utility Bill,Electricity,1299,6/4/2023,Amex Platinum
7633020,4138989,Utility Bill,Electricity,1299,6/15/2023,Corporate credit card
2600159,9761106,Flight Booking,New York to Delhi,10102,1/1/2023,Corporate credit card
8937327,7121883,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
10403583,9268436,Technology Investment,Gucci,50696,1/1/2023,Corporate credit card
13333838,4079043,Utility Bill,Electricity,1299,6/15/2023,Corporate credit card
2108658,12375187,Flight Booking,New York to Delhi,10106,1/9/2023,Corporate credit card
7602951,5719604,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
5903843,3146423,Utility Bill,Electricity,1299,6/15/2023,Amex Platinum
8590065,4694655,Utility Bill,Electricity,1299,1/1/2023,Corporate credit card
1438724,6787145,Gym Membership,Equinox,1299,1/1/2023,Corporate credit card
2373497,9246305,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
6567553,14935447,Hotel Stay,Villa in Tuscany,30131,1/1/2023,Amex Platinum
10843710,13289625,Gym Membership,Equinox,1299,1/1/2023,Amex Platinum
39177,13868913,Flight Booking,New York to Delhi,10121,1/1/2023,Amex Platinum
3667395,12839370,Flight Booking,New York to Delhi,10136,1/19/2023,Corporate credit card
10320815,1826766,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
2686283,8103738,Gym Membership,Equinox,1299,1/1/2023,Corporate credit card
12964863,14962304,Gym Membership,Equinox,1299,3/6/2023,Corporate credit card
7250045,2219054,Flight Booking,New York to Delhi,10136,1/1/2023,Amex Platinum
7129896,16108716,Flight Booking,New York to Delhi,10148,1/1/2023,Amex Platinum
9727605,15009925,Gym Membership,Equinox,1299,1/31/2023,Corporate credit card
3528504,14994369,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
4626374,13125655,Gym Membership,Equinox,1299,1/1/2023,Corporate credit card
9632224,13349445,Gym Membership,Equinox,1299,4/23/2023,Corporate credit card
8592083,12140061,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
3358886,3708723,Flight Booking,New York to Delhi,10162,1/1/2023,Amex Platinum
4724424,7976183,Flight Booking,New York to Delhi,10180,1/1/2023,Amex Platinum
13802412,2680523,Gym Membership,Equinox,1299,1/1/2023,Amex Platinum
12537531,11795138,Hotel Stay,Villa in Tuscany,30137,1/1/2023,Corporate credit card
10575125,9614775,Gym Membership,Equinox,1299,1/1/2023,Amex Platinum
9169084,2553315,Luxury Shopping,Gucci,30140,1/1/2023,Amex Platinum
5872864,534268,Technology Investment,Gucci,50696,1/1/2023,Amex Platinum
11629153,10844664,Gym Membership,Equinox,1299,1/1/2023,Amex Platinum
4527722,11266610,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
208292,12681547,Gym Membership,Equinox,1299,1/1/2023,Corporate credit card
11351733,12840852,Luxury Shopping,Gucci,50540,6/15/2023,Corporate credit card
14584155,12624117,Alternative Asset Purchase,Office in Miami,30177,1/1/2023,Amex Platinum
2590906,10423589,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
6920606,8269848,Alternative Asset Purchase,Office in Miami,30194,1/1/2023,Corporate credit card
15263543,9420767,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
9168742,14416329,Gym Membership,Equinox,1299,2/22/2023,Amex Platinum
8966997,4654115,Gym Membership,Equinox,1299,1/1/2023,Corporate credit card
7343279,1370663,Technology Investment,IPhone,50696,5/5/2023,Corporate credit card
5388601,1305605,Flight Booking,Seattle to Bangalore,10183,1/1/2023,Corporate credit card
14588757,13899576,Gym Membership,Equinox,1299,5/26/2023,Amex Platinum
6271780,1104834,Gym Membership,Equinox,1299,6/15/2023,Corporate credit card
4689601,4591747,Food Delivery,Uber Eats,1299,1/1/2023,Amex Platinum
12417911,7218525,Flight Booking,Seattle to Bangalore,10188,1/1/2023,Corporate credit card
7213352,9128554,Food Delivery,Uber Eats,1299,1/1/2023,Amex Platinum
2175046,14422901,Food Delivery,Uber Eats,1299,1/1/2023,Amex Platinum
8571665,2860045,Food Delivery,Uber Eats,1299,3/6/2023,Amex Platinum
855350,4094452,Flight Booking,Seattle to Bangalore,10262,1/1/2023,Corporate credit card
2761459,1419722,Food Delivery,Uber Eats,1299,1/1/2023,Corporate credit card
9012661,9797557,Food Delivery,Uber Eats,1299,1/1/2023,Amex Platinum
8530886,7410378,Food Delivery,Uber Eats,1299,6/15/2023,Amex Platinum
6304260,16579931,Food Delivery,Uber Eats,1299,3/24/2023,Corporate credit card
4671370,13961804,Food Delivery,Uber Eats,1299,2/13/2023,Corporate credit card
12047319,15210309,Food Delivery,Uber Eats,1299,6/15/2023,Amex Platinum
5450106,8153014,Flight Booking,Seattle to Bangalore,10268,1/1/2023,Amex Platinum
13996105,3347654,Food Delivery,Uber Eats,1299,1/1/2023,Corporate credit card
11900806,15014376,Food Delivery,Uber Eats,1299,1/1/2023,Corporate credit card
13098415,14607033,Technology Investment,Gucci,50696,1/6/2023,Amex Platinum
3692309,11490053,Food Delivery,Uber Eats,1299,6/15/2023,Corporate credit card
10427237,16073799,Food Delivery,Uber Eats,1299,1/1/2023,Amex Platinum
8394033,8903410,Food Delivery,Uber Eats,1299,5/10/2023,Corporate credit card
6416097,11435215,Luxury Shopping,IPhone,50696,1/1/2023,Amex Platinum
14451062,10817943,Alternative Asset Purchase,Office in Miami,30205,1/1/2023,Amex Platinum
15895356,16400523,Food Delivery,Uber Eats,1299,5/14/2023,Corporate credit card
2628389,3343132,Flight Booking,Seattle to Bangalore,10271,1/1/2023,Corporate credit card
9340927,8825059,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
132899,7830009,Flight Booking,Seattle to Bangalore,10301,6/15/2023,Corporate credit card
2746730,630993,Food Delivery,Uber Eats,1299,6/15/2023,Corporate credit card
11197178,12906142,Food Delivery,Uber Eats,1299,1/1/2023,Corporate credit card
12393769,1504990,Flight Booking,Seattle to Bangalore,10304,5/19/2023,Amex Platinum
1067683,4282933,Food Delivery,Uber Eats,1299,1/1/2023,Corporate credit card
13241844,4949019,Alternative Asset Purchase,Office in Miami,30217,2/15/2023,Corporate credit card
6560635,272184,Flight Booking,Seattle to Bangalore,10313,1/1/2023,Corporate credit card
68952,5625844,Food Delivery,Uber Eats,1299,6/15/2023,Corporate credit card
9230408,2738022,Food Delivery,Uber Eats,1299,6/15/2023,Amex Platinum
7113549,5935490,Food Delivery,Uber Eats,1299,3/2/2023,Corporate credit card
13326308,2630369,Food Delivery,Uber Eats,1299,2/17/2023,Amex Platinum
2211781,10387177,Pharmacy Bill,Medicare,1299,6/15/2023,Corporate credit card
15519161,13748704,Technology Investment,Gucci,50696,5/26/2023,Amex Platinum
13284308,12560585,Luxury Shopping,IPhone,50696,1/1/2023,Corporate credit card
11184549,924178,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
10458342,7665541,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
7867523,6024078,Flight Booking,Seattle to Bangalore,10315,1/1/2023,Corporate credit card
927568,3616235,Alternative Asset Purchase,Office in Miami,30228,1/13/2023,Amex Platinum
5386219,12156524,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
10479721,6966003,Pharmacy Bill,Medicare,1299,1/12/2023,Amex Platinum
3546665,15163336,Alternative Asset Purchase,Office in Miami,30231,1/1/2023,Amex Platinum
8475769,7960099,Luxury Shopping,IPhone,50696,1/1/2023,Amex Platinum
2971654,720400,Alternative Asset Purchase,Office in Miami,30239,1/17/2023,Amex Platinum
10415371,12109193,Flight Booking,Seattle to Bangalore,10324,1/1/2023,Corporate credit card
10901859,5948940,Pharmacy Bill,Medicare,1299,4/17/2023,Amex Platinum
4611162,13317151,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
8471255,6372331,Flight Booking,Seattle to Bangalore,10345,6/15/2023,Corporate credit card
8631668,1663571,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
6347793,13948024,Technology Investment,IPhone,50696,1/1/2023,Amex Platinum
12122218,14335637,Alternative Asset Purchase,Office in Miami,30259,2/11/2023,Corporate credit card
466085,15292013,Pharmacy Bill,Medicare,1299,1/17/2023,Amex Platinum
6994914,3350478,Flight Booking,Seattle to Bangalore,10401,3/8/2023,Amex Platinum
13189097,961955,Pharmacy Bill,Medicare,1299,2/13/2023,Amex Platinum
11512371,15782485,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
4994944,14200636,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
4425615,12346716,Flight Booking,Seattle to Bangalore,10414,1/1/2023,Amex Platinum
8409103,2605997,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
5221712,16757983,Flight Booking,Seattle to Bangalore,10422,1/1/2023,Corporate credit card
6483588,15205396,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
8653512,4277794,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
3056934,9741575,Alternative Asset Purchase,Office in Miami,30292,1/1/2023,Amex Platinum
12143459,2042695,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
8426360,16401906,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
14907704,12021228,Technology Investment,Gucci,50696,5/19/2023,Corporate credit card
1531316,5077492,Flight Booking,Seattle to Bangalore,10429,1/1/2023,Corporate credit card
11327026,4452172,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
3920456,10583730,Alternative Asset Purchase,Office in Miami,30300,1/1/2023,Amex Platinum
16044134,13918551,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
10583289,577431,Flight Booking,Seattle to Bangalore,10437,2/26/2023,Corporate credit card
5899895,2087063,Alternative Asset Purchase,Office in Miami,30305,1/1/2023,Amex Platinum
7935121,6059417,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
15803369,11433292,Flight Booking,Seattle to Bangalore,10442,1/1/2023,Corporate credit card
9448759,1783975,Luxury Shopping,Gucci,50696,1/1/2023,Corporate credit card
7626339,9407543,Pharmacy Bill,Medicare,1299,5/18/2023,Amex Platinum
3823462,3492373,Pharmacy Bill,Medicare,1299,6/14/2023,Amex Platinum
10540416,5622762,Pharmacy Bill,Medicare,1299,6/15/2023,Amex Platinum
9399294,5862274,Technology Investment,Gucci,50696,1/1/2023,Corporate credit card
4148100,1581063,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
7428586,16179664,Flight Booking,Seattle to Bangalore,10463,1/1/2023,Amex Platinum
15372151,16437128,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
14266328,2183664,Pharmacy Bill,Medicare,1299,6/15/2023,Amex Platinum
870477,9979475,Pharmacy Bill,Medicare,1299,4/21/2023,Amex Platinum
14168189,2089454,Flight Booking,Seattle to Bangalore,10471,1/1/2023,Corporate credit card
7278041,9348021,Alternative Asset Purchase,Office in Miami,30316,1/1/2023,Amex Platinum
12837400,1224843,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
11375119,3194467,Alternative Asset Purchase,Office in Miami,30350,1/1/2023,Amex Platinum
11890941,5178347,Alternative Asset Purchase,Office in Miami,30366,1/1/2023,Corporate credit card
15095368,9165359,Flight Booking,Seattle to Bangalore,10476,2/6/2023,Amex Platinum
10586910,14017794,Alternative Asset Purchase,Office in Miami,30375,1/1/2023,Corporate credit card
10086950,15592203,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
8990088,8219475,Pharmacy Bill,Medicare,1299,2/7/2023,Amex Platinum
5068463,9204491,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
3503006,1806643,Flight Booking,Seattle to Bangalore,10519,5/13/2023,Amex Platinum
10996676,14228553,Pharmacy Bill,Medicare,1299,1/25/2023,Corporate credit card
15764923,14389064,Alternative Asset Purchase,Office in Miami,30376,5/14/2023,Corporate credit card
6358121,11101157,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
5754504,1366860,Flight Booking,Seattle to Bangalore,10537,1/1/2023,Amex Platinum
6329742,3929219,Pharmacy Bill,Medicare,1299,6/15/2023,Amex Platinum
15608328,8643375,Pharmacy Bill,Medicare,1299,1/14/2023,Corporate credit card
4582307,9812825,Pharmacy Bill,Medicare,1299,5/18/2023,Amex Platinum
7228912,16073300,Flight Booking,Seattle to Bangalore,10549,6/5/2023,Amex Platinum
3945793,6345901,Flight Booking,Seattle to Bangalore,10550,1/1/2023,Amex Platinum
855601,14654237,Flight Booking,Seattle to Bangalore,10564,4/28/2023,Amex Platinum
13598707,11923877,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
15211101,5886115,Alternative Asset Purchase,Office in Miami,30377,1/1/2023,Amex Platinum
3892217,6700995,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
8160367,14039487,Pharmacy Bill,Medicare,1299,6/15/2023,Corporate credit card
1687770,14294348,Pharmacy Bill,Medicare,1299,6/15/2023,Amex Platinum
6966945,13548650,Alternative Asset Purchase,Office in Miami,30381,6/15/2023,Corporate credit card
15386150,1163254,Flight Booking,Seattle to Bangalore,10564,1/1/2023,Corporate credit card
4680499,14068927,Luxury Shopping,Gucci,50696,4/24/2023,Corporate credit card
15111685,1218877,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
4055098,1215397,Pharmacy Bill,Medicare,1299,6/15/2023,Corporate credit card
16161099,6460723,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
51973,12606112,Pharmacy Bill,Medicare,1299,1/1/2023,Amex Platinum
10146440,6898017,Alternative Asset Purchase,Office in Miami,30398,1/1/2023,Corporate credit card
7976513,1696021,Luxury Shopping,IPhone,50696,6/15/2023,Amex Platinum
11825695,327791,Flight Booking,Seattle to Bangalore,10581,1/1/2023,Amex Platinum
10127236,11934284,Alternative Asset Purchase,Office in Miami,30429,6/15/2023,Amex Platinum
1071141,14365934,Luxury Shopping,Gucci,50696,4/6/2023,Amex Platinum
5832663,7649818,Pharmacy Bill,Medicare,1299,1/1/2023,Corporate credit card
7745687,854321,Pharmacy Bill,Medicare,1299,6/15/2023,Amex Platinum
4751440,13553570,Pharmacy Bill,Medicare,1299,5/19/2023,Corporate credit card
5809920,5687685,Flight Booking,Seattle to Bangalore,10589,1/1/2023,Amex Platinum
3471898,13496219,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
10127712,13771295,Flight Booking,Seattle to Bangalore,10602,6/15/2023,Corporate credit card
1082821,15139624,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
16074791,10706798,Flight Booking,Seattle to Bangalore,10617,4/10/2023,Amex Platinum
10017325,10756281,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
9141773,9382200,Alternative Asset Purchase,Office in Miami,30457,1/1/2023,Amex Platinum
14420390,14910661,Flight Booking,Seattle to Bangalore,10622,6/15/2023,Amex Platinum
11539350,13130849,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
3964140,10270009,Luxury Shopping,Gucci,50696,4/28/2023,Corporate credit card
4927149,614169,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
12572631,3056023,Alternative Asset Purchase,Office in Miami,30476,1/1/2023,Corporate credit card
618007,6463402,Alternative Asset Purchase,Office in Miami,30476,1/1/2023,Amex Platinum
621227,16037162,Grocery Shopping,Costco,1299,2/5/2023,Amex Platinum
5920850,6894419,Grocery Shopping,Costco,1299,5/18/2023,Amex Platinum
1558285,14017173,Grocery Shopping,Costco,1299,4/30/2023,Amex Platinum
12186753,13898798,Grocery Shopping,Costco,1299,6/15/2023,Corporate credit card
478163,14374790,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
9061077,3894180,Alternative Asset Purchase,Office in Miami,30508,1/1/2023,Amex Platinum
3467804,5753143,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
15905086,11015390,Grocery Shopping,Costco,1299,6/15/2023,Corporate credit card
7974726,1949000,Grocery Shopping,Costco,1299,3/28/2023,Corporate credit card
6826800,6867538,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
2276425,9298843,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
14704555,5603221,Grocery Shopping,Costco,1299,5/10/2023,Corporate credit card
2944328,6621675,Grocery Shopping,Costco,1299,6/15/2023,Corporate credit card
8416117,3080500,Flight Booking,Seattle to Bangalore,10624,5/10/2023,Amex Platinum
4471470,12303305,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
2146285,7233290,Flight Booking,Seattle to Bangalore,10628,1/25/2023,Corporate credit card
7702411,10803492,Grocery Shopping,Costco,1299,3/6/2023,Corporate credit card
6774865,2060540,Flight Booking,Seattle to Bangalore,10640,1/1/2023,Corporate credit card
4857673,8681213,Grocery Shopping,Costco,1299,3/26/2023,Amex Platinum
12142046,7758659,Flight Booking,Seattle to Bangalore,10641,1/1/2023,Amex Platinum
14579626,4468984,Luxury Shopping,Gucci,50696,2/7/2023,Amex Platinum
8596917,15638593,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
13667844,14093251,Grocery Shopping,Costco,1299,1/3/2023,Corporate credit card
1891641,12594072,Grocery Shopping,Costco,1299,6/15/2023,Corporate credit card
15834146,10027677,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
15261165,14711869,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
4075676,12790600,Grocery Shopping,Costco,1299,3/17/2023,Corporate credit card
14306642,12743534,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
12934361,7814913,Grocery Shopping,Costco,1299,3/11/2023,Corporate credit card
872765,14381457,Grocery Shopping,Costco,1299,4/23/2023,Amex Platinum
8961159,6625718,Alternative Asset Purchase,Office in Miami,30510,4/14/2023,Amex Platinum
16636986,12603624,Grocery Shopping,Costco,1299,6/15/2023,Amex Platinum
9965611,2617901,Flight Booking,Seattle to Bangalore,10649,5/15/2023,Corporate credit card
1642120,556758,Grocery Shopping,Costco,1299,3/10/2023,Corporate credit card
14445918,3005500,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
14057619,14674702,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
13863313,12700645,Alternative Asset Purchase,Office in Miami,30526,1/13/2023,Corporate credit card
5653593,8010947,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
955243,6315607,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
16620116,2959838,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
6751504,16243516,Flight Booking,Seattle to Bangalore,10668,1/1/2023,Amex Platinum
14297553,8607686,Luxury Shopping,Gucci,50696,1/1/2023,Amex Platinum
16525691,14975960,Grocery Shopping,Costco,1299,1/6/2023,Corporate credit card
3452418,15517649,Grocery Shopping,Costco,1299,1/28/2023,Amex Platinum
1038819,15676970,Alternative Asset Purchase,Office in Miami,30528,4/22/2023,Amex Platinum
12187109,4231493,Alternative Asset Purchase,Office in Miami,30546,1/13/2023,Amex Platinum
11178094,510392,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
13930177,3578424,Grocery Shopping,Costco,1299,6/15/2023,Amex Platinum
2808596,422909,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
5976098,6026747,Flight Booking,Seattle to Bangalore,10686,1/1/2023,Corporate credit card
4151438,14243062,Grocery Shopping,Costco,1299,1/1/2023,Corporate credit card
4143358,2760912,Grocery Shopping,Costco,1299,1/1/2023,Amex Platinum
1981133,1796331,Technology Investment,Gucci,50696,1/1/2023,Corporate credit card
14928084,13540061,Alternative Asset Purchase,Office in HongKong,30581,4/7/2023,Amex Platinum
15525180,997822,Grocery Shopping,Costco,1299,3/16/2023,Corporate credit card
6982521,2835340,Grocery Shopping,Costco,1299,6/15/2023,Amex Platinum
11739566,15180127,Grocery Shopping,Costco,1299,6/15/2023,Amex Platinum
7425518,13584859,Alternative Asset Purchase,Office in HongKong,30610,1/1/2023,Amex Platinum
15574983,2920082,Luxury Shopping,Gucci,50696,1/1/2023,Corporate credit card
10223442,9990078,Fitness Gear,Nike Shoes,1299,5/17/2023,Corporate credit card
12882135,6842221,Technology Investment,IPhone,50696,1/1/2023,Amex Platinum
6714219,7356897,Flight Booking,Seattle to Bangalore,10693,1/1/2023,Corporate credit card
10957161,4152792,Fitness Gear,Nike Shoes,1299,1/1/2023,Corporate credit card
451767,11535649,Fitness Gear,Nike Shoes,1299,1/1/2023,Amex Platinum
9953207,760555,Luxury Shopping,Gucci,50696,4/6/2023,Amex Platinum
